features,seed,repeat,retained,iterations,converged,wall_seconds,energy,mu1,mu2,energy_abs_error,mu1_abs_error,mu2_abs_error,virial_residual,wave_error_1,wave_error_2,retained_rank,complex_unknowns
256,2086156109,0,247,213,True,32.38789489999181,8.372886106689784,12.298232791805134,12.485070812927095,0.00018284050088723802,0.0005787901469034296,0.0006015441608919758,8.671645812222128e-05,0.006576198308848994,0.011457873087452448,247,494
256,2086156109,1,247,213,True,32.6022149999917,8.372886106689784,12.298232791805134,12.485070812927095,0.00018284050088723802,0.0005787901469034296,0.0006015441608919758,8.671645812222128e-05,0.006576198308848994,0.011457873087452448,247,494
256,2086156109,2,247,213,True,31.008771799999522,8.372886106689784,12.298232791805134,12.485070812927095,0.00018284050088723802,0.0005787901469034296,0.0006015441608919758,8.671645812222128e-05,0.006576198308848994,0.011457873087452448,247,494
256,2086156151,0,248,212,True,32.576209200007725,8.372863797709446,12.298142360044771,12.484977046152695,0.0001605315205495117,0.0004883583865407104,0.0005077773864918811,0.00014909326278679871,0.004466594315057636,0.007381289315783121,248,496
256,2086156151,1,248,212,True,32.616852000006475,8.372863797709446,12.298142360044771,12.484977046152695,0.0001605315205495117,0.0004883583865407104,0.0005077773864918811,0.00014909326278679871,0.004466594315057636,0.007381289315783121,248,496
256,2086156151,2,248,212,True,31.08433040000091,8.372863797709446,12.298142360044771,12.484977046152695,0.0001605315205495117,0.0004883583865407104,0.0005077773864918811,0.00014909326278679871,0.004466594315057636,0.007381289315783121,248,496
256,2086156193,0,246,209,True,30.850453999999445,8.372867996613333,12.298350547277709,12.485195221147626,0.00016473042443720942,0.0006965456194780728,0.0007259523814227009,0.0006986172199467677,0.004416577900547759,0.007232147634585194,246,492
256,2086156193,1,246,209,True,30.819541100005154,8.372867996613333,12.298350547277709,12.485195221147626,0.00016473042443720942,0.0006965456194780728,0.0007259523814227009,0.0006986172199467677,0.004416577900547759,0.007232147634585194,246,492
256,2086156193,2,246,209,True,30.870034000006854,8.372867996613333,12.298350547277709,12.485195221147626,0.00016473042443720942,0.0006965456194780728,0.0007259523814227009,0.0006986172199467677,0.004416577900547759,0.007232147634585194,246,492
256,2086156235,0,248,231,True,33.04272460000357,8.37285493753447,12.29826701108307,12.485107584140271,0.00015167134557358963,0.000613009424839106,0.0006383153740685543,0.0005129163635169444,0.004378649736296874,0.007797085200759754,248,496
